outcome,n_obs,ctrl_mean,ctrl_sd,b1,b1_se,b1_p,b3,b3_se,b3_p,b13,b13_se,b13_p
number_appliances,2217,1.8318,1.3402,0.2112,0.1111,0.0572,0.268,0.1966,0.1729,0.4792,0.2068,0.0205
life_index,2217,-0.0,1.0,0.1317,0.0985,0.1812,0.0125,0.1602,0.938,0.1441,0.1059,0.1737
